config,n_labels,study_macro_auroc_common12,image_macro_auroc_common12
densenet14_baseline,12,0.7683130887164987,0.7607966427161306
densenet14_full_sample,12,0.7898541923501216,0.7860339443329095
densenet14_full_entry,12,0.7610733050696411,0.7565577466539745
densenet14_top05_sample,12,0.7667071563966821,0.7547699090150343
densenet14_top10_sample,12,0.8272327626505852,0.8158949240608359
densenet14_top20_sample,12,0.826138997839139,0.8192563066304747
densenet14_top05_entry,12,0.8206878799889052,0.817111278015791
densenet14_top10_entry,12,0.8199844174217926,0.8107111760349085
densenet14_top20_entry,12,0.8065297055164805,0.800242009121118
xrv12_baseline,12,0.8157916451989516,0.8095378312868943
xrv12_full_sample,12,0.8127337775747208,0.8043132106938923
xrv12_full_entry,12,0.8113731429839973,0.8027561866901737
xrv12_top05_sample,12,0.8142545405731175,0.807339214731959
xrv12_top10_sample,12,0.8383889435404835,0.8271842629170835
xrv12_top20_sample,12,0.8385787910617423,0.8342382339282147
xrv12_top05_entry,12,0.8243104739058483,0.8213322757109149
xrv12_top10_entry,12,0.7847542243959552,0.7753101185035928
xrv12_top20_entry,12,0.78785900272473,0.7819579295329034
