run_id,family,view_scope,label_space,cleaning,topk,study_micro,study_macro,image_micro,image_macro
appa_densenet_baseline,DenseNet,AP/PA,14->common12,baseline,,0.895079284396465,0.7682974480758582,0.8907888089976654,0.7607835110846567
appa_densenet_full_entry,DenseNet,AP/PA,14->common12,full_entry,,0.8857294809937982,0.7610576644290005,0.8818327580720178,0.7565446150225005
appa_densenet_full_sample,DenseNet,AP/PA,14->common12,full_sample,,0.8889258685514192,0.7898541923501216,0.8863269175562632,0.7860339443329095
appa_densenet_top05_entry,DenseNet,AP/PA,14->common12,topk_entry,5%,0.8972301560407288,0.8206878799889052,0.8940473249792482,0.817111278015791
appa_densenet_top05_sample,DenseNet,AP/PA,14->common12,topk_sample,5%,0.8935126914201805,0.7667071563966821,0.8890168483691285,0.7547699090150343
appa_densenet_top10_entry,DenseNet,AP/PA,14->common12,topk_entry,10%,0.8972805828532702,0.8199844174217926,0.8927794134337426,0.8107111760349085
appa_densenet_top10_sample,DenseNet,AP/PA,14->common12,topk_sample,10%,0.8948002560337363,0.8272327626505852,0.8894151917945705,0.8158949240608359
appa_densenet_top20_entry,DenseNet,AP/PA,14->common12,topk_entry,20%,0.8945360195360196,0.8065297055164805,0.8905506930953064,0.800242009121118
appa_densenet_top20_sample,DenseNet,AP/PA,14->common12,topk_sample,20%,0.8988189368145315,0.826138997839139,0.8935260291836631,0.8192563066304747
appa_xrv_direct_baseline,XRV direct,AP/PA,common12,baseline,,0.8699122707933281,0.6653363283206984,0.8691964812255625,0.6633826497027392
appa_xrv_direct_full_entry,XRV direct,AP/PA,common12,full_entry,,0.8318662492671303,0.6342794364100085,0.8317916997692278,0.6344685801246164
appa_xrv_direct_full_sample,XRV direct,AP/PA,common12,full_sample,,0.8313135714016772,0.6364746931678308,0.8309443854718144,0.6359316136228036
appa_xrv_linear_baseline,XRV linear-head,AP/PA,common12,baseline,,0.8977545948911589,0.8157916451989516,0.8938603928689851,0.8095378312868943
appa_xrv_linear_full_entry,XRV linear-head,AP/PA,common12,full_entry,,0.8860152329315325,0.8113609064827902,0.8810243879642425,0.802745870374015
appa_xrv_linear_full_sample,XRV linear-head,AP/PA,common12,full_sample,,0.8852884144734365,0.8127476397779279,0.880414633223622,0.804325062983736
appa_xrv_linear_top05_entry,XRV linear-head,AP/PA,common12,topk_entry,5%,0.9004077175883345,0.8243104739058483,0.8978304748298138,0.8213322757109148
appa_xrv_linear_top05_sample,XRV linear-head,AP/PA,common12,topk_sample,5%,0.8985708368968279,0.8142545405731175,0.8933785976086042,0.807339214731959
appa_xrv_linear_top10_entry,XRV linear-head,AP/PA,common12,topk_entry,10%,0.8988364181095458,0.7847542243959552,0.8957803414181471,0.7753101185035928
appa_xrv_linear_top10_sample,XRV linear-head,AP/PA,common12,topk_sample,10%,0.9004998305659098,0.8383889435404835,0.8951661359129964,0.8271842629170835
appa_xrv_linear_top20_entry,XRV linear-head,AP/PA,common12,topk_entry,20%,0.8915675611710854,0.7859494226901499,0.8878641003558386,0.7804567026633343
appa_xrv_linear_top20_sample,XRV linear-head,AP/PA,common12,topk_sample,20%,0.8990273676397025,0.8385758884726328,0.8956701849960276,0.8342357454746391
fullview_densenet_baseline,DenseNet,All views,14->common12,baseline,,0.8906382936917288,0.7961812798817897,0.8800830144027215,0.7806118609689282
fullview_densenet_full_entry,DenseNet,All views,14->common12,full_entry,,0.879109807735762,0.7823842235943488,0.8735883853791114,0.786075940686824
fullview_densenet_full_sample,DenseNet,All views,14->common12,full_sample,,0.8772407085384185,0.7852537257280067,0.8678561854049957,0.7819808830132873
