run_id,family,view_scope,label_space,cleaning,topk,study_micro,study_macro,study_Atelectasis,study_Cardiomegaly,study_Consolidation,study_Edema,study_Enlarged Cardiomediastinum,study_Fracture,study_Lung Lesion,study_Lung Opacity,study_Pleural Effusion,study_Pleural Other,study_Pneumonia,study_Pneumothorax
appa_densenet_baseline,DenseNet,AP/PA,14->common12,baseline,,0.895079284396465,0.7682974480758582,0.9339622641509434,0.8759803921568627,0.7585034013605442,0.8946011842563567,0.8540965207631874,0.5868725868725868,0.7254901960784315,0.642454954954955,0.9251078809902339,0.5,0.7767783291976841,0.7457216661285114
appa_densenet_full_entry,DenseNet,AP/PA,14->common12,full_entry,,0.8857294809937982,0.7610576644290005,0.9669811320754716,0.8781045751633987,0.7959183673469388,0.903448275862069,0.8288439955106622,0.5173745173745175,0.27450980392156865,0.6473348348348348,0.922836702248467,0.8636363636363636,0.7752274607113316,0.758475944462383
appa_densenet_full_sample,DenseNet,AP/PA,14->common12,full_sample,,0.8889258685514192,0.7898541923501216,0.9433962264150944,0.8614379084967321,0.8020408163265307,0.8930686172065482,0.8355780022446689,0.5212355212355212,0.5686274509803921,0.6482732732732733,0.918294344764933,0.9545454545454546,0.7847394540942928,0.7470132386180174
appa_densenet_top05_entry,DenseNet,AP/PA,14->common12,topk_entry,5%,0.8972301560407288,0.8206878799889052,0.8844339622641509,0.8575163398692811,0.8054421768707483,0.9010797631487286,0.8361391694725029,0.6640926640926641,0.8431372549019608,0.6606606606606605,0.9218714512832159,0.9545454545454546,0.7870140612076095,0.7323216015498869
appa_densenet_top05_sample,DenseNet,AP/PA,14->common12,topk_sample,5%,0.8935126914201805,0.7667071563966821,0.9386792452830188,0.8647875816993464,0.8000000000000002,0.9176593521421107,0.8484848484848485,0.5830115830115831,0.8627450980392157,0.6786786786786787,0.9039859186918011,0.2727272727272727,0.7869106699751861,0.7428156280271231
appa_densenet_top10_entry,DenseNet,AP/PA,14->common12,topk_entry,10%,0.8972805828532702,0.8199844174217926,0.9481132075471698,0.858251633986928,0.7965986394557822,0.9091605712295368,0.8748597081930416,0.5212355212355213,0.8627450980392157,0.6783033033033034,0.9150011355893709,0.9545454545454546,0.792390405293631,0.7286083306425573
appa_densenet_top10_sample,DenseNet,AP/PA,14->common12,topk_sample,10%,0.8948002560337363,0.8272327626505852,0.9033018867924528,0.8854575163398692,0.8013605442176872,0.9031696273075583,0.8395061728395061,0.5405405405405406,0.9607843137254902,0.6377627627627627,0.9165909607086078,0.9545454545454546,0.7786393713813069,0.8051340006457862
appa_densenet_top20_entry,DenseNet,AP/PA,14->common12,topk_entry,20%,0.8945360195360196,0.8065297055164805,0.9646226415094339,0.8775326797385621,0.827891156462585,0.8874956461163357,0.8827160493827161,0.5328185328185329,0.7156862745098038,0.6036036036036035,0.9156824892119009,0.9545454545454546,0.7626137303556657,0.7531482079431708
appa_densenet_top20_sample,DenseNet,AP/PA,14->common12,topk_sample,20%,0.8988189368145315,0.826138997839139,0.9433962264150944,0.8590686274509803,0.8054421768707484,0.9136189481017066,0.8282828282828283,0.5637065637065637,0.9313725490196079,0.6685435435435435,0.9224392459686577,0.9545454545454546,0.7912531017369727,0.7319987084275104
appa_xrv_direct_baseline,XRV direct,AP/PA,common12,baseline,,0.8699122707933281,0.6653363283206984,0.5,0.8280228758169934,0.7608843537414965,0.8966213862765586,0.835297418630752,0.5,0.5,0.5,0.896150352032705,0.5,0.767059553349876,0.5
