family,cleaning,topk,study_micro,study_macro,study_Atelectasis,study_Cardiomegaly,study_Consolidation,study_Edema,study_Enlarged Cardiomediastinum,study_Fracture,study_Lung Lesion,study_Lung Opacity,study_Pleural Effusion,study_Pleural Other,study_Pneumonia,study_Pneumothorax
DenseNet,baseline,,0.9,0.77,0.93,0.88,0.76,0.89,0.85,0.59,0.73,0.64,0.93,0.5,0.78,0.75
DenseNet,topk_sample,5%,0.89,0.77,0.94,0.86,0.8,0.92,0.85,0.58,0.86,0.68,0.9,0.27,0.79,0.74
DenseNet,topk_sample,10%,0.89,0.83,0.9,0.89,0.8,0.9,0.84,0.54,0.96,0.64,0.92,0.95,0.78,0.81
DenseNet,topk_sample,20%,0.9,0.83,0.94,0.86,0.81,0.91,0.83,0.56,0.93,0.67,0.92,0.95,0.79,0.73
DenseNet,topk_entry,5%,0.9,0.82,0.88,0.86,0.81,0.9,0.84,0.66,0.84,0.66,0.92,0.95,0.79,0.73
DenseNet,topk_entry,10%,0.9,0.82,0.95,0.86,0.8,0.91,0.87,0.52,0.86,0.68,0.92,0.95,0.79,0.73
DenseNet,topk_entry,20%,0.89,0.81,0.96,0.88,0.83,0.89,0.88,0.53,0.72,0.6,0.92,0.95,0.76,0.75
XRV linear-head,baseline,,0.9,0.82,0.9,0.84,0.83,0.91,0.86,0.56,0.76,0.71,0.92,1.0,0.8,0.7
XRV linear-head,topk_sample,5%,0.9,0.81,0.9,0.87,0.82,0.92,0.88,0.55,0.75,0.74,0.92,0.86,0.78,0.79
XRV linear-head,topk_sample,10%,0.9,0.84,0.94,0.85,0.86,0.9,0.86,0.59,0.89,0.72,0.92,1.0,0.79,0.73
XRV linear-head,topk_sample,20%,0.9,0.84,0.97,0.85,0.83,0.9,0.84,0.66,0.81,0.73,0.92,1.0,0.81,0.73
XRV linear-head,topk_entry,5%,0.9,0.82,0.84,0.87,0.88,0.91,0.88,0.63,0.77,0.7,0.91,0.95,0.82,0.74
XRV linear-head,topk_entry,10%,0.9,0.78,0.8,0.87,0.85,0.91,0.87,0.6,0.6,0.66,0.92,0.82,0.8,0.73
XRV linear-head,topk_entry,20%,0.89,0.79,0.88,0.85,0.81,0.9,0.84,0.51,0.62,0.66,0.93,0.93,0.79,0.72
