label,baseline,appa_densenet_top10_sample,appa_densenet_top10_sample_delta_vs_baseline,appa_densenet_top20_sample,appa_densenet_top20_sample_delta_vs_baseline,appa_densenet_top05_entry,appa_densenet_top05_entry_delta_vs_baseline,appa_densenet_top10_entry,appa_densenet_top10_entry_delta_vs_baseline,appa_densenet_top20_entry,appa_densenet_top20_entry_delta_vs_baseline,valid_count,positive_count,negative_count
Atelectasis,0.9339622641509434,0.9033018867924528,-0.030660377358490587,0.9433962264150944,0.009433962264150941,0.8844339622641509,-0.04952830188679247,0.9481132075471698,0.014150943396226356,0.964622641509434,0.030660377358490587,214,212,2
Cardiomegaly,0.8759803921568627,0.8854575163398692,0.009477124183006502,0.8590686274509803,-0.016911764705882404,0.8575163398692811,-0.018464052287581634,0.858251633986928,-0.01772875816993469,0.8775326797385621,0.0015522875816993409,242,170,72
Consolidation,0.7585034013605442,0.8013605442176872,0.04285714285714304,0.8054421768707484,0.0469387755102042,0.8054421768707483,0.04693877551020409,0.7965986394557822,0.03809523809523807,0.827891156462585,0.06938775510204087,91,70,21
Edema,0.8946011842563567,0.9031696273075585,0.008568443051201746,0.9136189481017066,0.019017763845349922,0.9010797631487286,0.006478578892371911,0.9091605712295368,0.014559386973180044,0.8874956461163357,-0.007105538140021017,252,165,87
Enlarged Cardiomediastinum,0.8540965207631874,0.8395061728395061,-0.014590347923681302,0.8282828282828283,-0.02581369248035914,0.8361391694725029,-0.017957351290684542,0.8748597081930416,0.02076318742985417,0.8827160493827161,0.028619528619528656,93,66,27
Fracture,0.5868725868725868,0.5405405405405406,-0.04633204633204624,0.5637065637065637,-0.02316602316602312,0.6640926640926641,0.07722007722007729,0.5212355212355213,-0.0656370656370655,0.5328185328185329,-0.054054054054053946,44,37,7
Lung Lesion,0.7254901960784315,0.9607843137254902,0.23529411764705876,0.931372549019608,0.20588235294117652,0.8431372549019608,0.11764705882352933,0.8627450980392157,0.13725490196078427,0.7156862745098038,-0.009803921568627638,53,51,2
Lung Opacity,0.642454954954955,0.6377627627627627,-0.0046921921921923015,0.6685435435435435,0.026088588588588535,0.6606606606606605,0.018205705705705566,0.6783033033033034,0.03584834834834838,0.6036036036036035,-0.038851351351351426,166,148,18
Pleural Effusion,0.925107880990234,0.9165909607086078,-0.008516920281626206,0.9224392459686576,-0.0026686350215764376,0.921871451283216,-0.003236429707017985,0.9150011355893708,-0.010106745400863204,0.9156824892119008,-0.009425391778333236,327,259,68
Pleural Other,0.5,0.9545454545454546,0.4545454545454546,0.9545454545454546,0.4545454545454546,0.9545454545454546,0.4545454545454546,0.9545454545454546,0.4545454545454546,0.9545454545454546,0.4545454545454546,23,22,1
Pneumonia,0.7767783291976841,0.7786393713813069,0.0018610421836228186,0.7912531017369727,0.014474772539288638,0.7870140612076095,0.010235732009925447,0.792390405293631,0.015612076095946947,0.7626137303556657,-0.014164598842018372,202,124,78
Pneumothorax,0.7457216661285114,0.8051340006457862,0.05941233451727479,0.7319987084275104,-0.01372295770100107,0.7323216015498869,-0.013400064578624526,0.7286083306425573,-0.017113335485954173,0.7531482079431708,0.007426541814659404,201,38,163
