family,label,base_sample_positive,base_sample_negative,base_entry_positive,base_entry_negative,top05_sample_removed_positive,top05_sample_removed_negative,top10_sample_removed_positive,top10_sample_removed_negative,top20_sample_removed_positive,top20_sample_removed_negative,top05_entry_removed_positive,top05_entry_removed_negative,top10_entry_removed_positive,top10_entry_removed_negative,top20_entry_removed_positive,top20_entry_removed_negative,top05_sample_pos_pct,top05_sample_neg_pct,top05_entry_pos_pct,top05_entry_neg_pct,top10_sample_pos_pct,top10_sample_neg_pct,top10_entry_pos_pct,top10_entry_neg_pct,top20_sample_pos_pct,top20_sample_neg_pct,top20_entry_pos_pct,top20_entry_neg_pct
DenseNet,Atelectasis,58239,1566,58239,1566,0,90,17,163,356,406,0,377,0,600,0,674,0.0,5.747126436781609,0.0,24.074074074074073,0.02919006164254194,10.40868454661558,0.0,38.31417624521073,0.6112742320438195,25.925925925925927,0.0,43.039591315453386
DenseNet,Cardiomegaly,52553,16036,52553,16036,20,162,171,315,916,922,0,159,0,350,8,795,0.038056818830513955,1.0102269892741331,0.0,0.991519082065353,0.3253858010008943,1.9643302569219256,0.0,2.182589174357695,1.7430023024375392,5.7495634821651285,0.015222727532205584,4.957595410326765
DenseNet,Consolidation,15652,8256,15652,8256,82,33,247,81,571,341,0,49,0,94,14,221,0.5238947099412216,0.3997093023255814,0.0,0.5935077519379846,1.5780730897009967,0.9811046511627907,0.0,1.1385658914728682,3.648096089956555,4.130329457364341,0.08944543828264759,2.676841085271318
DenseNet,Edema,42117,25445,42117,25445,96,113,341,274,908,935,31,83,67,228,195,591,0.2279364627110193,0.44409510709373157,0.07360448275043331,0.32619375122813915,0.8096493102547665,1.0768323835724112,0.15908065626706555,0.8960503045785027,2.155899043141724,3.6745922578109647,0.46299593988175797,2.322656710552171
DenseNet,Enlarged Cardiomediastinum,17129,5330,17129,5330,27,22,170,69,458,303,0,60,0,140,0,310,0.15762741549419113,0.41275797373358347,0.0,1.125703564727955,0.9924689123708331,1.2945590994371483,0.0,2.626641651031895,2.6738280109755386,5.684803001876173,0.0,5.816135084427767
DenseNet,Fracture,5267,952,5267,952,1,55,18,70,153,102,0,0,0,15,0,31,0.01898614011771407,5.777310924369748,0.0,0.0,0.34175052211885326,7.352941176470588,0.0,1.5756302521008403,2.9048794380102527,10.714285714285714,0.0,3.2563025210084033
DenseNet,Lung Lesion,7593,820,7593,820,1,37,27,61,120,140,0,50,0,93,0,192,0.013170025023047543,4.512195121951219,0.0,6.097560975609756,0.3555906756222837,7.439024390243903,0.0,11.341463414634147,1.5804030027657052,17.073170731707318,0.0,23.414634146341463
DenseNet,Lung Opacity,57111,2979,57111,2979,1,134,56,296,483,667,0,455,0,752,0,1129,0.001750976169214337,4.498153742866734,0.0,15.273581738838537,0.09805466547600288,9.936220208123531,0.0,25.243370258476,0.8457214897305247,22.390063779791877,0.0,37.898623699227926
DenseNet,Pleural Effusion,62076,27073,62076,27073,112,67,358,229,991,1053,35,323,80,606,194,1123,0.18042399639152007,0.24747903815609648,0.05638249887235002,1.1930705869316294,0.5767124170371802,0.8458611901156133,0.12887428313680005,2.2383924943670817,1.5964301823571105,3.8894839877368597,0.3125201366067401,4.148044176855169
DenseNet,Pleural Other,2774,123,2774,123,0,9,2,15,51,36,0,21,0,31,0,45,0.0,7.317073170731708,0.0,17.073170731707318,0.07209805335255948,12.195121951219512,0.0,25.203252032520325,1.8385003604902668,29.26829268292683,0.0,36.58536585365854
DenseNet,Pneumonia,35627,23838,35627,23838,245,286,701,735,1608,1443,0,45,5,149,85,452,0.6876806916102955,1.1997650809631681,0.0,0.1887742260256733,1.9676088359951722,3.0833123584193305,0.014034299828781542,0.6250524372850071,4.513430824936144,6.053360181223257,0.2385830970892862,1.8961322258578739
DenseNet,Pneumothorax,12206,43776,12206,43776,378,43,545,185,1012,791,38,15,189,29,710,66,3.0968376208422086,0.09822733918128655,0.3113223005079469,0.034265350877192985,4.465017204653449,0.4226059941520468,1.5484188104211043,0.06624634502923976,8.291004424053744,1.8069261695906433,5.816811404227429,0.15076754385964913
