family,label,base_sample_positive,base_sample_negative,base_entry_positive,base_entry_negative,top05_sample_removed_positive,top05_sample_removed_negative,top10_sample_removed_positive,top10_sample_removed_negative,top20_sample_removed_positive,top20_sample_removed_negative,top05_entry_removed_positive,top05_entry_removed_negative,top10_entry_removed_positive,top10_entry_removed_negative,top20_entry_removed_positive,top20_entry_removed_negative
DenseNet,Atelectasis,58239,1566,58239,1566,0,90,17,163,356,406,0,377,0,600,0,674
DenseNet,Fracture,5267,952,5267,952,1,55,18,70,153,102,0,0,0,15,0,31
DenseNet,Lung Lesion,7593,820,7593,820,1,37,27,61,120,140,0,50,0,93,0,192
DenseNet,Lung Opacity,57111,2979,57111,2979,1,134,56,296,483,667,0,455,0,752,0,1129
DenseNet,Pleural Other,2774,123,2774,123,0,9,2,15,51,36,0,21,0,31,0,45
XRV linear-head,Atelectasis,58239,1566,58239,1566,0,119,0,211,206,405,0,595,0,712,0,712
XRV linear-head,Fracture,5267,952,5267,952,0,78,4,94,77,137,0,13,0,44,0,126
XRV linear-head,Lung Lesion,7593,820,7593,820,0,38,11,51,78,110,0,72,0,135,0,226
XRV linear-head,Lung Opacity,57111,2979,57111,2979,0,133,12,313,243,647,0,509,0,966,0,1189
XRV linear-head,Pleural Other,2774,123,2774,123,0,7,1,11,24,23,0,27,0,37,0,50
