label_index,label_name,issue_rows,global_top05_count,global_top05_pct,global_top10_count,global_top10_pct,global_top20_count,global_top20_pct,perlabel_top05_count,perlabel_top05_pct,perlabel_top10_count,perlabel_top10_pct,perlabel_top20_count,perlabel_top20_pct
0,Atelectasis,712,595,0.8356741573033708,712,1.0,712,1.0,36,0.05056179775280899,71,0.0997191011235955,142,0.199438202247191
1,Cardiomegaly,4898,183,0.03736218864842793,496,0.10126582278481013,1289,0.26316864026133113,245,0.0500204164965292,490,0.1000408329930584,980,0.2000816659861168
2,Consolidation,2506,104,0.041500399042298484,225,0.08978451715881884,449,0.17916999201915404,125,0.04988028731045491,251,0.10015961691939346,501,0.19992019154030327
3,Edema,7033,129,0.018342101521399118,362,0.051471633726716905,1014,0.14417744916820702,352,0.050049765391724725,703,0.09995734394995023,1407,0.2000568747333997
4,Enlarged Cardiomediastinum,2487,86,0.03457981503819863,259,0.10414153598713309,583,0.23441897868918377,124,0.049859268194611985,249,0.10012062726176116,497,0.1998391636509851
5,Fracture,407,13,0.03194103194103194,44,0.10810810810810811,126,0.3095823095823096,20,0.04914004914004914,41,0.10073710073710074,81,0.19901719901719903
6,Lung Lesion,420,72,0.17142857142857143,135,0.32142857142857145,226,0.5380952380952381,21,0.05,42,0.1,84,0.2
7,Lung Opacity,1209,509,0.42100909842845324,966,0.7990074441687345,1189,0.9834574028122415,60,0.04962779156327544,121,0.1000827129859388,242,0.2001654259718776
8,Pleural Effusion,5106,317,0.06208382295338817,672,0.13160987074030553,1379,0.2700744222483353,255,0.0499412455934195,511,0.10007833920877399,1021,0.199960830395613
9,Pleural Other,61,27,0.4426229508196721,37,0.6065573770491803,50,0.819672131147541,3,0.04918032786885246,6,0.09836065573770492,12,0.19672131147540983
10,Pneumonia,10894,28,0.0025702221406278683,85,0.0078024600697631724,380,0.034881586194235356,545,0.05002753809436387,1089,0.09996328254084817,2179,0.2000183587295759
11,Pneumothorax,6074,27,0.004445176160684887,188,0.030951596970694766,964,0.15870925255186039,304,0.050049390846229835,607,0.09993414553836022,1215,0.2000329272308199
