label,baseline,appa_xrv_linear_top10_sample,appa_xrv_linear_top10_sample_delta_vs_baseline,appa_xrv_linear_top20_sample,appa_xrv_linear_top20_sample_delta_vs_baseline,appa_xrv_linear_top05_entry,appa_xrv_linear_top05_entry_delta_vs_baseline,appa_xrv_linear_top10_entry,appa_xrv_linear_top10_entry_delta_vs_baseline,appa_xrv_linear_top20_entry,appa_xrv_linear_top20_entry_delta_vs_baseline,valid_count,positive_count,negative_count
Atelectasis,0.8985849056603774,0.9433962264150944,0.04481132075471694,0.9693396226415094,0.070754716981132,0.8443396226415094,-0.054245283018867996,0.8018867924528301,-0.09669811320754729,0.8820754716981132,-0.01650943396226423,214,212,2
Cardiomegaly,0.8429738562091504,0.8543300653594772,0.011356209150326757,0.8517973856209151,0.008823529411764675,0.8651143790849674,0.022140522875816915,0.8694444444444445,0.026470588235294024,0.8462418300653595,0.0032679738562090277,242,170,72
Consolidation,0.8312925170068028,0.8605442176870748,0.02925170068027194,0.8333333333333334,0.0020408163265305257,0.8775510204081634,0.04625850340136051,0.845578231292517,0.014285714285714124,0.8095238095238095,-0.02176870748299331,91,70,21
Edema,0.9111807732497388,0.900592128178335,-0.01058864507140378,0.90118425635667,-0.009996516893068796,0.907070707070707,-0.004110066179031757,0.9145245559038664,0.0033437826541276028,0.9003134796238245,-0.01086729362591432,252,165,87
Enlarged Cardiomediastinum,0.8597081930415265,0.856341189674523,-0.0033670033670034627,0.8434343434343434,-0.016273849607183033,0.8765432098765433,0.01683501683501687,0.8664421997755332,0.006734006734006703,0.8378226711560045,-0.021885521885521952,93,66,27
Fracture,0.555984555984556,0.5945945945945946,0.038610038610038644,0.6602316602316602,0.10424710424710426,0.6293436293436294,0.07335907335907343,0.5984555984555985,0.0424710424710425,0.5135135135135136,-0.042471042471042386,44,37,7
Lung Lesion,0.7647058823529411,0.892156862745098,0.12745098039215685,0.8137254901960784,0.0490196078431373,0.7745098039215685,0.009803921568627416,0.5980392156862745,-0.16666666666666663,0.6176470588235294,-0.1470588235294117,53,51,2
Lung Opacity,0.710960960960961,0.7180930930930931,0.007132132132132152,0.7293543543543544,0.01839339339339341,0.697072072072072,-0.01388888888888895,0.6584084084084083,-0.052552552552552645,0.6559684684684685,-0.054992492492492495,166,148,18
Pleural Effusion,0.9189756983874632,0.9203384056325232,0.0013627072450600464,0.9230070406540996,0.004031342266636373,0.910118101294572,-0.008857597092891134,0.9161935044287988,-0.002782193958664414,0.9254485578014988,0.006472859414035637,327,259,68
Pleural Other,1.0,1.0,0.0,1.0,0.0,0.9545454545454546,-0.045454545454545414,0.8181818181818182,-0.18181818181818177,0.931818181818182,-0.06818181818181801,23,22,1
Pneumonia,0.7984904880066171,0.7902191894127378,-0.008271298593879317,0.809863523573201,0.011373035566583867,0.8154466501240695,0.016956162117452322,0.7998345740281224,0.0013440860215052641,0.7903225806451613,-0.008167907361455895,202,124,78
Pneumothorax,0.6966419115272845,0.7300613496932515,0.03341943816596704,0.7276396512754278,0.03099773974814335,0.7400710364869229,0.043429124959638354,0.7300613496932515,0.03341943816596704,0.7206974491443332,0.024055537617048706,201,38,163
