Pathology,AUROC,GT_Noise_Rate,GT_Issues,Positive_Count,Negative_Count,Positive_Rate
Atelectasis,0.5464837087013679,43.34%,293,189,487,27.96%
Cardiomegaly,0.6017963298009822,41.12%,278,146,530,21.60%
Consolidation,0.5722980392156862,34.02%,230,51,625,7.54%
Edema,0.6386027705972028,33.28%,225,141,535,20.86%
Enlarged Cardiomediastinum,0.6810771645936482,33.58%,227,39,637,5.77%
Fracture,0.5836374111772613,38.02%,257,41,635,6.07%
Lung Lesion,0.5502824476541623,34.76%,235,47,629,6.95%
Lung Opacity,0.5507923249767656,47.34%,320,167,509,24.70%
Pleural Effusion,0.5789016272189349,40.83%,276,260,416,38.46%
Pleural Other,0.6211970899470899,34.02%,230,28,648,4.14%
Pneumonia,0.6293762327416174,35.65%,241,52,624,7.69%
Pneumothorax,0.5345427890782481,25.74%,174,34,642,5.03%
