# Strategy: Uncertain->1, Missing->0
Pathology,AUROC,GT_Noise_Rate,GT_Issues,Positive_Count,Negative_Count,Positive_Rate
Atelectasis,0.5399289375582479,50.00%,338,232,444,34.32%
Cardiomegaly,0.6020366598778004,42.16%,285,185,491,27.37%
Consolidation,0.5593738481885393,40.09%,271,77,599,11.39%
Edema,0.6374270943796395,41.42%,280,184,492,27.22%
Enlarged Cardiomediastinum,0.606105610561056,42.16%,285,70,606,10.36%
Fracture,0.6391123847312539,39.05%,264,43,633,6.36%
Lung Lesion,0.5432027649769585,44.97%,304,56,620,8.28%
Lung Opacity,0.5563921273366823,35.95%,243,167,509,24.70%
Pleural Effusion,0.5800897328693838,41.57%,281,283,393,41.86%
Pleural Other,0.6430776014109347,33.43%,226,28,648,4.14%
Pneumonia,0.5457825476587203,38.76%,262,143,533,21.15%
Pneumothorax,0.5943299876738862,17.90%,121,45,631,6.66%
