Pathology,AUROC,Pseudo_Noise_Rate,Pseudo_Issues,Positive_Count,Negative_Count,Positive_Rate
Atelectasis,0.5575002987733993,44.97%,304,188,488,27.81%
Cardiomegaly,0.6116567588524167,39.94%,270,176,500,26.04%
Consolidation,0.5682196078431373,38.46%,260,62,614,9.17%
Edema,0.6664943328693578,38.46%,260,140,536,20.71%
Enlarged Cardiomediastinum,0.5765004226542688,43.34%,293,50,626,7.40%
Fracture,0.6018052621471097,36.54%,247,51,625,7.54%
Lung Lesion,0.49088387511416304,46.45%,314,51,625,7.54%
Lung Opacity,0.5478983094714304,29.59%,200,214,462,31.66%
Pleural Effusion,0.5819896449704142,46.15%,312,246,430,36.39%
Pleural Other,0.6828152557319225,30.62%,207,35,641,5.18%
Pneumonia,0.6641857741617357,38.17%,258,77,599,11.39%
Pneumothorax,0.4872640645043064,16.12%,109,52,624,7.69%
