# Strategy: Uncertain->1, Missing->0
Pathology,AUROC,Pseudo_Noise_Rate,Pseudo_Issues,Positive_Count,Negative_Count,Positive_Rate
Atelectasis,0.553513031952457,45.41%,307,227,449,33.58%
Cardiomegaly,0.5940940811579218,43.05%,291,189,487,27.96%
Consolidation,0.595921568627451,42.46%,287,74,602,10.95%
Edema,0.6839000463975609,29.44%,199,191,485,28.25%
Enlarged Cardiomediastinum,0.5449019844624241,55.18%,373,73,603,10.80%
Fracture,0.5025926637219128,47.34%,320,51,625,7.54%
Lung Lesion,0.5090484727531035,39.35%,266,54,622,7.99%
Lung Opacity,0.5763561286072256,38.61%,261,230,446,34.02%
Pleural Effusion,0.564478550295858,37.72%,255,273,403,40.38%
Pleural Other,0.6537698412698414,33.14%,224,42,634,6.21%
Pneumonia,0.6776688856015779,42.75%,289,165,511,24.41%
Pneumothorax,0.5169965182334616,29.44%,199,56,620,8.28%
