n_classes,injected_noise_rate,true_noise_rate_mean,true_noise_rate_std,estimated_noise_rate_mean,estimated_noise_rate_std,issue_precision_mean,issue_recall_mean,oof_auroc_vs_clean_mean
2,0.0,0.0,0.0,0.00023999999999999998,0.00032863353450309965,0.0,,0.9998486719999999
2,0.05,0.05216,0.002376552124402071,0.05172,0.002291724241700994,0.9825991797187127,0.9743798056296236,0.9998917759999999
2,0.1,0.10388000000000001,0.001830846798615331,0.10368,0.002484351021896866,0.9790358325075227,0.9769711080591771,0.9998720640000001
2,0.15,0.1534,0.0038600518131237526,0.15296,0.00475478706147815,0.9782202352952318,0.9752343298991816,0.999850912
2,0.2,0.20423999999999998,0.0043298960726557865,0.20232,0.0051041159861429505,0.9820276464734847,0.9727425101967706,0.999800896
2,0.25,0.25339999999999996,0.005440588203494168,0.2512,0.005672741841473109,0.9831879863437688,0.9746477655764814,0.999731008
2,0.3,0.30236,0.00528280228666566,0.30091999999999997,0.00545270575035917,0.9846332780931452,0.9799597296945242,0.9996569280000001
2,0.35,0.3528,0.005394441583704474,0.35212,0.005876393451769516,0.9818172716390621,0.9799323902860438,0.999424512
2,0.4,0.40312000000000003,0.005133419912689797,0.40415999999999996,0.006490608600123727,0.9683652482003104,0.9708823446453849,0.996614624
2,0.45,0.45183999999999996,0.00797169994417753,0.45008,0.01431684322747162,0.9043045324447698,0.9005172246742509,0.970017472
2,0.5,0.50044,0.007498533189897866,0.46792,0.03734878846763305,0.4888897239029551,0.45818718804885067,0.48539024
3,0.0,0.0,0.0,0.0002,0.000282842712474619,0.0,,0.9999377570153705
3,0.05,0.05216,0.002376552124402071,0.051519999999999996,0.0022342784070030304,0.9800389188557546,0.9681980019675667,0.999882594104388
3,0.1,0.10388000000000001,0.001830846798615331,0.10251999999999999,0.0026743223440714842,0.9891143149396477,0.9760412052765177,0.9998622913851541
3,0.15,0.1534,0.0038600518131237526,0.1504,0.004361192497471307,0.9919862235332211,0.9725239503801193,0.9998093519145371
3,0.2,0.20423999999999998,0.0043298960726557865,0.19948,0.0039053809033178758,0.9957519306368411,0.9725905693438159,0.9997654351996879
3,0.25,0.25339999999999996,0.005440588203494168,0.24516,0.005978963120809494,0.996720304613094,0.964295143023935,0.9996876932436372
3,0.3,0.30236,0.00528280228666566,0.29188000000000003,0.007067672884337519,0.9977687351604866,0.9631234229730206,0.9995880948245363
3,0.35,0.3528,0.005394441583704474,0.3382,0.007080960386840188,0.9974745005509495,0.9561526858476089,0.9994152099727092
3,0.4,0.40312000000000003,0.005133419912689797,0.38204000000000005,0.008091229819996463,0.9991422536936103,0.9468771909878393,0.999364368459205
3,0.45,0.45183999999999996,0.00797169994417753,0.42256,0.007376177872041882,0.9986577590705515,0.9340326832018375,0.9989783197262252
3,0.5,0.50044,0.007498533189897866,0.46004000000000006,0.005769575374323488,0.9971188010119804,0.9168078782932534,0.9975926303478815
4,0.0,0.0,0.0,0.0032,0.002915475947422651,0.0,,0.9990386773333334
4,0.05,0.05216,0.002376552124402071,0.05392,0.0024314604664686617,0.9084401725940838,0.9376232972871626,0.9985151146666666
4,0.1,0.10388000000000001,0.001830846798615331,0.10464,0.0016637307474468243,0.9414750076169526,0.9480620905965023,0.9983226133333332
4,0.15,0.1534,0.0038600518131237526,0.15204,0.004325274557759313,0.9592283123135692,0.9505585062640479,0.9981406399999999
4,0.2,0.20423999999999998,0.0043298960726557865,0.20132,0.005487440204685615,0.9639183755500589,0.9499585572427668,0.9977496426666667
4,0.25,0.25339999999999996,0.005440588203494168,0.24708000000000002,0.006520122698231981,0.974776477448908,0.9503521118581764,0.9975849173333333
4,0.3,0.30236,0.00528280228666566,0.29212,0.006083748844257153,0.9774063728462273,0.9442685974317235,0.9971375893333334
4,0.35,0.3528,0.005394441583704474,0.33728,0.005659681969863693,0.9851381830449316,0.9418187067159852,0.9968616640000001
4,0.4,0.40312000000000003,0.005133419912689797,0.38112,0.0065461439030928825,0.9847139720117198,0.9310038733120487,0.9958687893333333
4,0.45,0.45183999999999996,0.00797169994417753,0.42076,0.0030377623343507297,0.9887833410764134,0.9209347200170452,0.9958131626666666
4,0.5,0.50044,0.007498533189897866,0.45876,0.002586116780039161,0.9906458939402445,0.9083746205832973,0.9944446933333333
