n_classes,seed,injected_noise_rate,true_noise_rate,estimated_noise_rate,issue_precision,issue_recall,oof_auroc_vs_clean
2,0,0.0,0.0,0.0006,0.0,,0.99959968
2,0,0.05,0.0506,0.0502,0.9442231075697212,0.9367588932806324,0.99968784
2,0,0.1,0.1034,0.104,0.9576923076923077,0.9632495164410058,0.999624
2,0,0.15,0.157,0.1592,0.9510050251256281,0.9643312101910828,0.9995864
2,0,0.2,0.2092,0.2088,0.9578544061302682,0.9560229445506692,0.9994908800000001
2,0,0.25,0.2596,0.2578,0.9612102404965089,0.9545454545454546,0.99920928
2,0,0.3,0.3036,0.3018,0.9642147117296223,0.958498023715415,0.99894656
2,0,0.35,0.3516,0.3504,0.9611872146118722,0.9579067121729238,0.9986492800000001
2,0,0.4,0.4024,0.399,0.9458646616541353,0.9378727634194831,0.99160864
2,0,0.45,0.454,0.4436,0.8755635707844905,0.8555066079295154,0.9487296000000001
2,0,0.5,0.504,0.4422,0.5006784260515604,0.4392857142857143,0.49469888
2,1,0.0,0.0,0.0,,,0.99997616
2,1,0.05,0.0506,0.0496,0.9879032258064516,0.9683794466403162,0.99993872
2,1,0.1,0.1024,0.1012,0.9881422924901185,0.9765625,0.9999424
2,1,0.15,0.1534,0.1532,0.9738903394255874,0.9726205997392438,0.9998832
2,1,0.2,0.203,0.2018,0.9831516352824579,0.9773399014778326,0.99987216
2,1,0.25,0.2524,0.2512,0.9888535031847133,0.9841521394611727,0.99988816
2,1,0.3,0.3056,0.3054,0.9875573018991487,0.9869109947643979,0.9999008
2,1,0.35,0.3564,0.3566,0.9859786876051598,0.9865319865319865,0.9994734399999999
2,1,0.4,0.4014,0.405,0.9723456790123457,0.9810662680617838,0.99819728
2,1,0.45,0.4462,0.4498,0.9270787016451756,0.9345584939489019,0.9837743999999999
2,1,0.5,0.4918,0.5072,0.5646687697160884,0.58235054900366,0.59735648
2,2,0.0,0.0,0.0,,,0.99999776
2,2,0.05,0.054,0.0532,1.0,0.9851851851851852,0.99999584
2,2,0.1,0.1044,0.1042,0.9980806142034548,0.9961685823754789,0.9999904000000001
2,2,0.15,0.1522,0.152,0.9973684210526316,0.9960578186596584,0.99999472
2,2,0.2,0.2062,0.2052,0.9970760233918129,0.9922405431619786,0.99998384
2,2,0.25,0.253,0.2516,0.9976152623211447,0.9920948616600791,0.99999456
2,2,0.3,0.305,0.3042,0.997370151216305,0.9947540983606558,0.9999971200000001
2,2,0.35,0.358,0.3586,0.9910764082543224,0.9927374301675977,0.99995504
2,2,0.4,0.4074,0.4082,0.9784419402253797,0.9803632793323515,0.99832464
2,2,0.45,0.4638,0.4684,0.8919726729291204,0.9008193186718413,0.9695819200000001
2,2,0.5,0.5114,0.4874,0.3697168649979483,0.3523660539694955,0.30439311999999996
3,0,0.0,0.0,0.0004,0.0,,0.9998703500992518
3,0,0.05,0.0506,0.0514,0.9766536964980544,0.9920948616600791,0.9998768904357451
3,0,0.1,0.1034,0.1034,0.9864603481624759,0.9864603481624759,0.9998561326011495
3,0,0.15,0.157,0.1562,0.9923175416133163,0.9872611464968153,0.9996909688801247
3,0,0.2,0.2092,0.204,0.996078431372549,0.97131931166348,0.9996526321548073
3,0,0.25,0.2596,0.2514,0.9968178202068417,0.9653312788906009,0.9993666392177687
3,0,0.3,0.3036,0.2916,0.9972565157750343,0.9578392621870883,0.9993595585571459
3,0,0.35,0.3516,0.3358,0.9994044073853484,0.9544937428896473,0.9990472879412273
3,0,0.4,0.4024,0.3756,1.0,0.9333996023856859,0.9990101994944682
3,0,0.45,0.454,0.4174,1.0,0.9193832599118943,0.9985815145152568
3,0,0.5,0.504,0.452,0.9969026548672566,0.8940476190476191,0.9950526807254181
3,1,0.0,0.0,0.0,,,0.9999946605338398
3,1,0.05,0.0506,0.0502,0.9920318725099602,0.9841897233201581,0.999997900209937
3,1,0.1,0.1024,0.0998,0.9979959919839679,0.97265625,0.9999989200899622
3,1,0.15,0.1534,0.1492,1.0,0.9726205997392438,0.9999964003418866
3,1,0.2,0.203,0.2002,1.0,0.9862068965517241,0.999997600239928
3,1,0.25,0.2524,0.2466,1.0,0.9770206022187005,0.9999959204078777
3,1,0.3,0.3056,0.299,1.0,0.9784031413612565,0.999990280953703
3,1,0.35,0.3564,0.3444,1.0,0.9663299663299664,0.9999189478154822
3,1,0.4,0.4014,0.3886,1.0,0.9681116093672147,0.9999133076590968
3,1,0.45,0.4462,0.4274,1.0,0.9578664276109368,0.999895490142773
3,1,0.5,0.4918,0.466,0.9995708154506437,0.9471329808865392,0.9997313914233127
3,2,0.0,0.0,0.0,,,0.9999850597290223
3,2,0.05,0.054,0.0506,1.0,0.937037037037037,0.9999836800830458
3,2,0.1,0.1044,0.1022,0.9941291585127201,0.9731800766283525,0.9999707196501385
3,2,0.15,0.1522,0.1484,0.9946091644204852,0.9697766097240473,0.9999470792946136
3,2,0.2,0.2062,0.2002,0.997002997002997,0.967992240543162,0.9999029196940842
3,2,0.25,0.253,0.246,0.9983739837398374,0.9707509881422924,0.99990645977232
3,2,0.3,0.305,0.296,1.0,0.9704918032786886,0.9999186971262604
3,2,0.35,0.358,0.3458,1.0,0.9659217877094972,0.999742717019671
3,2,0.4,0.4074,0.3894,1.0,0.9558173784977909,0.9997570567744577
3,2,0.45,0.4638,0.4328,1.0,0.933160845191893,0.9989176067831002
