n_classes,injected_noise_rate,true_noise_rate_mean,true_noise_rate_std,estimated_noise_rate_mean,estimated_noise_rate_std,issue_precision_mean,issue_recall_mean,oof_auroc_vs_clean_mean,class_sep
2,0.0,0.0,0.0,0.2816,0.0192540904744939,0.0,,0.71955824,0.3
2,0.05,0.0517333333333333,0.0019629909152447,0.3104666666666666,0.0112895231667831,0.1034942042532718,0.6197921241399502,0.7196784533333332,0.3
2,0.1,0.1034,0.001,0.3378666666666667,0.0111970234139852,0.194194656016312,0.6337874051872355,0.7172931733333333,0.3
2,0.15,0.1542,0.0024979991993593,0.3654666666666666,0.0182979051624314,0.2715853346073165,0.6430000479745533,0.71588384,0.3
2,0.2,0.2061333333333333,0.0031005375877955,0.3880666666666667,0.0135739947448543,0.3469208827742394,0.6527756902364032,0.714484,0.3
2,0.25,0.255,0.0039949968710876,0.4106666666666667,0.0136269341134876,0.4049729669947451,0.6518869698353434,0.7106554133333334,0.3
2,0.3,0.3047333333333333,0.0010263202878893,0.4297333333333333,0.0163466612289278,0.4590228015045846,0.6468718047389593,0.7065425599999999,0.3
2,0.35,0.3553333333333333,0.0033306655991458,0.4483999999999999,0.0186128987532839,0.5029573816941765,0.6343818776564638,0.6908247466666667,0.3
2,0.4,0.4037333333333333,0.0032145502536643,0.4568,0.0156089717790762,0.5361999312130902,0.6063119159322578,0.6676091733333333,0.3
2,0.45,0.4546666666666666,0.0088189190569668,0.4684,0.0233640749870393,0.5520429250993949,0.568206194975283,0.6177032000000001,0.3
2,0.5,0.5024000000000001,0.0098974744253268,0.4845333333333333,0.0397171667334583,0.5077237276185983,0.4873078720114335,0.5035506666666666,0.3
3,0.0,0.0,0.0,0.4018,0.0255992187380787,0.0,,0.7055902689744636,0.3
3,0.05,0.0517333333333333,0.0019629909152447,0.4089333333333333,0.0309892454463372,0.0844261727163929,0.6639242668228176,0.7058977534062398,0.3
3,0.1,0.1034,0.001,0.4198,0.0300206595530478,0.1637512127007516,0.6609814904362777,0.7045584883263708,0.3
3,0.15,0.1542,0.0024979991993593,0.4218,0.0196845116779665,0.2462325349555469,0.6727871080687869,0.7050854321731371,0.3
3,0.2,0.2061333333333333,0.0031005375877955,0.4293333333333333,0.0228817248767074,0.3157319452306961,0.6567230538692076,0.704435220434608,0.3
3,0.25,0.255,0.0039949968710876,0.4386,0.0215006976630992,0.375577297396961,0.6451367211961746,0.7026492016598289,0.3
3,0.3,0.3047333333333333,0.0010263202878893,0.4459333333333333,0.0149804316804734,0.4365312352461941,0.6378935196886073,0.6991080243802027,0.3
3,0.35,0.3553333333333333,0.0033306655991458,0.4494,0.0091148230920846,0.4902576680302591,0.6196564431521202,0.695947035061773,0.3
3,0.4,0.4037333333333333,0.0032145502536643,0.4642,0.0074484897798144,0.5355944670666223,0.6156113063574725,0.68855768575768,0.3
3,0.45,0.4546666666666666,0.0088189190569668,0.4639333333333333,0.0130619038938943,0.5863377727561999,0.5979350499425179,0.6830725706540859,0.3
